Inicio: 24/11/2023 13:21:27,99 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: videos-pequenos.txt
24/11/2023 14:30:28,15 106495
24/11/2023 14:30:33,19 105551
24/11/2023 14:30:39,14 106653
24/11/2023 14:30:44,11 105841
24/11/2023 14:30:49,22 106501
24/11/2023 14:30:55,13 106041
24/11/2023 14:31:00,21 106005
24/11/2023 14:31:06,15 106180
24/11/2023 14:31:12,17 106259
24/11/2023 14:31:53,16 83637
24/11/2023 14:31:59,20 107244
24/11/2023 14:32:04,19 171256
24/11/2023 15:16:40,19 114371
24/11/2023 15:16:46,16 114538
24/11/2023 15:16:52,21 115663
24/11/2023 15:16:57,16 111694
24/11/2023 15:17:03,20 115473
24/11/2023 15:17:09,13 115736
24/11/2023 15:17:15,14 115087
24/11/2023 15:17:21,16 115696
24/11/2023 15:17:27,12 114796
24/11/2023 15:17:32,20 115806
24/11/2023 15:17:38,18 115503
24/11/2023 15:17:44,22 112796
24/11/2023 15:17:50,18 113028
