Inicio: 24/11/2023 17:13:58,68 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop-refatorado.txt
24/11/2023 19:05:51,16 138000
24/11/2023 19:06:02,16 137538
24/11/2023 19:06:13,16 137498
24/11/2023 19:06:24,20 139595
24/11/2023 19:06:35,17 132349
24/11/2023 19:06:46,15 112934
24/11/2023 19:06:57,18 120550
24/11/2023 19:07:08,16 141766
24/11/2023 19:07:19,21 129386
24/11/2023 19:07:30,16 129063
24/11/2023 19:07:41,21 131175
24/11/2023 19:07:52,19 132947
24/11/2023 19:08:03,11 138164
24/11/2023 19:08:14,12 139370
24/11/2023 19:08:25,17 139494
24/11/2023 19:08:36,22 119794
24/11/2023 19:08:47,19 130881
24/11/2023 19:08:58,17 126875
24/11/2023 19:09:09,15 129977
24/11/2023 19:09:20,16 126581
24/11/2023 19:09:31,18 146767
24/11/2023 19:09:42,18 122377
24/11/2023 19:09:53,22 136060
24/11/2023 19:10:04,16 145975
24/11/2023 19:10:15,17 147588
24/11/2023 19:10:26,13 147602
24/11/2023 19:10:37,22 149836
24/11/2023 19:10:48,14 130338
24/11/2023 19:10:59,22 122911
24/11/2023 19:11:10,17 130941
24/11/2023 19:11:21,19 139789
24/11/2023 19:11:32,15 139531
24/11/2023 19:11:43,14 139485
24/11/2023 19:11:54,19 138584
24/11/2023 19:12:05,12 132352
24/11/2023 19:12:16,16 142383
24/11/2023 19:12:27,14 143581
24/11/2023 19:12:38,21 143595
24/11/2023 19:12:49,18 133284
24/11/2023 19:13:00,21 120381
24/11/2023 19:13:11,17 142719
24/11/2023 19:13:22,14 143421
24/11/2023 19:13:33,16 143329
24/11/2023 19:13:44,14 142238
24/11/2023 19:13:55,18 151476
24/11/2023 19:14:06,15 146796
24/11/2023 19:14:17,19 138275
24/11/2023 19:14:28,21 139783
24/11/2023 19:14:39,16 139773
24/11/2023 19:14:50,18 155048
24/11/2023 19:15:01,19 130939
24/11/2023 19:15:12,19 128531
24/11/2023 19:15:23,14 145095
24/11/2023 19:15:34,21 138543
24/11/2023 19:15:45,20 144472
24/11/2023 19:15:56,16 122793
24/11/2023 19:16:07,21 125828
24/11/2023 19:16:18,14 142066
24/11/2023 19:16:29,22 139839
24/11/2023 19:16:40,22 140958
24/11/2023 19:16:51,15 140952
24/11/2023 19:17:02,16 132189
24/11/2023 19:17:13,20 133919
24/11/2023 19:17:24,20 128476
24/11/2023 19:17:35,12 126676
24/11/2023 19:17:46,13 145176
24/11/2023 19:17:57,18 141315
24/11/2023 19:18:08,19 147261
24/11/2023 19:18:19,20 139527
24/11/2023 19:18:30,14 140371
24/11/2023 19:18:41,13 141806
24/11/2023 19:18:52,19 141773
24/11/2023 19:19:03,22 162865
24/11/2023 19:19:14,20 127667
24/11/2023 19:19:25,15 129274
24/11/2023 19:19:36,16 137271
24/11/2023 19:19:47,19 143053
24/11/2023 19:19:58,11 133603
24/11/2023 19:20:09,17 135422
24/11/2023 19:20:20,21 136443
24/11/2023 19:20:31,21 144931
24/11/2023 19:20:42,17 136238
24/11/2023 19:20:53,22 137567
24/11/2023 19:21:04,18 131726
24/11/2023 19:21:15,22 115726
24/11/2023 19:21:26,21 117436
24/11/2023 19:21:37,18 130151
24/11/2023 19:21:48,17 149082
24/11/2023 19:21:59,19 140861
24/11/2023 19:22:10,19 149454
24/11/2023 19:22:21,16 113843
24/11/2023 19:22:32,18 131758
24/11/2023 19:22:43,20 139957
24/11/2023 19:22:54,15 141126
24/11/2023 19:23:05,15 141153
24/11/2023 19:23:16,18 136445
24/11/2023 19:23:27,13 126146
24/11/2023 19:23:38,19 147694
24/11/2023 19:23:49,22 144815
24/11/2023 19:24:00,15 119848
24/11/2023 19:24:11,12 138538
24/11/2023 19:24:22,15 136767
24/11/2023 19:24:33,16 137903
24/11/2023 19:24:44,11 130873
24/11/2023 19:24:55,16 147049
24/11/2023 19:25:06,16 147877
24/11/2023 19:25:17,19 138882
24/11/2023 19:25:28,13 133305
24/11/2023 19:25:39,21 134939
24/11/2023 19:25:50,15 123858
24/11/2023 19:26:01,20 149721
24/11/2023 19:26:12,13 112014
24/11/2023 19:26:23,13 108952
24/11/2023 19:26:34,13 121633
24/11/2023 19:26:45,17 134414
24/11/2023 19:26:56,22 127545
24/11/2023 19:27:07,17 128713
24/11/2023 19:27:18,14 128717
24/11/2023 19:27:29,19 161052
24/11/2023 19:27:40,14 135251
24/11/2023 19:27:51,14 140310
24/11/2023 19:28:02,22 144279
24/11/2023 19:28:13,20 134635
24/11/2023 19:28:24,13 133338
24/11/2023 19:28:35,16 153123
24/11/2023 19:28:46,21 153930
24/11/2023 19:28:57,16 125730
24/11/2023 19:29:08,13 139959
24/11/2023 19:29:19,17 138303
24/11/2023 19:29:30,19 160628
24/11/2023 19:29:41,16 138122
24/11/2023 19:29:52,13 139339
24/11/2023 19:30:03,19 118547
24/11/2023 19:30:14,21 126149
24/11/2023 19:30:25,16 133828
24/11/2023 19:30:36,16 133465
24/11/2023 19:30:47,22 124916
24/11/2023 19:30:58,18 144944
24/11/2023 19:31:09,13 148887
24/11/2023 19:31:20,19 150042
24/11/2023 19:31:31,18 150056
24/11/2023 19:31:42,12 156288
24/11/2023 19:31:53,20 132045
24/11/2023 19:32:04,21 120152
24/11/2023 19:32:15,15 139318
24/11/2023 19:32:26,21 136086
24/11/2023 19:32:37,16 142409
24/11/2023 19:32:48,16 147245
24/11/2023 19:32:59,12 148023
24/11/2023 19:33:10,19 115292
24/11/2023 19:33:21,21 111257
24/11/2023 19:33:32,12 111222
24/11/2023 19:33:43,15 159206
24/11/2023 19:33:54,16 133435
24/11/2023 19:34:05,13 134530
24/11/2023 19:34:16,17 149868
24/11/2023 19:34:27,21 142968
24/11/2023 19:34:38,17 149172
24/11/2023 19:34:49,22 148942
24/11/2023 19:35:00,16 127515
