Inicio: 22/11/2023 16:55:05,55 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync.txt
22/11/2023 18:00:11,19 110887
22/11/2023 18:00:22,14 111727
22/11/2023 18:00:32,18 110489
22/11/2023 18:00:43,16 109128
22/11/2023 18:00:54,21 74562
22/11/2023 18:01:05,20 71510
22/11/2023 18:01:16,19 71490
22/11/2023 18:01:27,21 111365
22/11/2023 18:01:38,18 102141
22/11/2023 18:01:49,18 111668
22/11/2023 18:02:00,13 109261
22/11/2023 18:02:10,18 75324
22/11/2023 18:02:21,22 71624
22/11/2023 18:02:32,13 71639
22/11/2023 18:02:42,15 111662
22/11/2023 18:02:53,15 110426
22/11/2023 18:03:04,14 111804
22/11/2023 18:03:15,19 109678
22/11/2023 18:03:26,17 110558
22/11/2023 18:03:37,21 111724
22/11/2023 18:03:48,16 111700
22/11/2023 18:03:59,18 111601
22/11/2023 18:04:10,13 111227
22/11/2023 18:04:21,13 112231
22/11/2023 18:04:31,18 110103
22/11/2023 18:04:42,22 110865
22/11/2023 18:04:53,11 111968
22/11/2023 18:05:04,15 111788
22/11/2023 18:05:15,19 113284
22/11/2023 18:05:26,12 111571
22/11/2023 18:05:37,19 110678
22/11/2023 18:05:48,12 111011
22/11/2023 18:05:58,18 112284
22/11/2023 18:06:09,18 112424
22/11/2023 18:06:20,20 111937
22/11/2023 18:06:31,15 113053
22/11/2023 18:06:42,16 111744
22/11/2023 18:06:53,13 110180
22/11/2023 18:07:04,14 75637
22/11/2023 18:07:15,12 72562
22/11/2023 18:07:25,14 72529
22/11/2023 18:07:35,18 112089
22/11/2023 18:07:46,16 112818
22/11/2023 18:07:57,18 111692
22/11/2023 18:08:08,13 110231
22/11/2023 18:08:18,17 75568
22/11/2023 18:08:28,19 72596
22/11/2023 18:08:39,21 72592
22/11/2023 18:08:50,18 112277
22/11/2023 18:09:01,13 112871
22/11/2023 18:09:11,13 111880
22/11/2023 18:09:21,20 112099
22/11/2023 18:09:32,13 77088
22/11/2023 18:09:42,15 72728
22/11/2023 18:09:53,20 72724
22/11/2023 18:10:04,16 112434
22/11/2023 18:10:15,15 112956
22/11/2023 18:10:26,18 111624
22/11/2023 18:10:37,22 109952
22/11/2023 18:10:48,17 110557
22/11/2023 18:10:59,13 111745
22/11/2023 18:11:09,18 111589
22/11/2023 18:11:20,11 111741
22/11/2023 18:11:31,12 112772
22/11/2023 18:11:41,17 112175
22/11/2023 18:11:52,12 109896
22/11/2023 18:12:03,14 74842
22/11/2023 18:12:13,15 72098
22/11/2023 18:12:24,14 72082
22/11/2023 18:12:34,15 111968
22/11/2023 18:12:45,15 115691
22/11/2023 18:12:56,12 112454
22/11/2023 18:13:07,17 110022
22/11/2023 18:13:18,21 75989
22/11/2023 18:13:29,20 72349
22/11/2023 18:13:40,20 72325
22/11/2023 18:13:51,18 111335
22/11/2023 18:14:02,18 111829
22/11/2023 18:14:13,13 112809
22/11/2023 18:14:23,18 110366
22/11/2023 18:14:34,22 111267
22/11/2023 18:14:45,16 112425
22/11/2023 18:14:56,12 112433
22/11/2023 18:15:06,14 112196
22/11/2023 18:15:17,17 111931
22/11/2023 18:15:28,20 112935
22/11/2023 18:15:39,21 111003
22/11/2023 18:15:50,19 111595
22/11/2023 18:16:01,12 112731
22/11/2023 18:16:12,21 112191
22/11/2023 18:16:23,19 113343
22/11/2023 18:16:34,18 112629
22/11/2023 18:16:45,16 111068
22/11/2023 18:16:56,20 111566
22/11/2023 18:17:07,20 112936
22/11/2023 18:17:18,16 112900
22/11/2023 18:17:29,12 112651
22/11/2023 18:17:40,17 113467
22/11/2023 18:17:51,20 112486
22/11/2023 18:18:02,19 110827
22/11/2023 18:18:13,11 111713
22/11/2023 18:18:23,22 112777
22/11/2023 18:18:34,14 112889
22/11/2023 18:18:44,19 112742
22/11/2023 18:18:55,17 79485
