Inicio: 22/11/2023 14:50:35,02 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 60 min - Log: simple-videos.txt
22/11/2023 15:22:27,21 116068
22/11/2023 15:22:33,21 113864
22/11/2023 15:22:39,12 113832
22/11/2023 15:22:45,19 113108
22/11/2023 15:22:51,19 113104
22/11/2023 15:22:57,15 116330
22/11/2023 15:23:03,14 113706
22/11/2023 15:23:09,20 113763
22/11/2023 15:23:15,15 115282
22/11/2023 15:23:21,17 112598
22/11/2023 15:23:27,21 114423
22/11/2023 15:23:33,21 113026
22/11/2023 15:23:39,16 116514
22/11/2023 15:23:45,13 113937
22/11/2023 15:23:51,13 113945
22/11/2023 15:23:56,12 113413
22/11/2023 15:24:01,12 113168
22/11/2023 15:24:06,20 113184
22/11/2023 15:24:12,12 116791
22/11/2023 15:24:18,21 114035
22/11/2023 15:24:24,15 114019
22/11/2023 15:24:30,15 115617
22/11/2023 15:24:36,11 112873
22/11/2023 15:24:42,16 114772
22/11/2023 15:24:48,13 113408
22/11/2023 15:24:53,15 116336
22/11/2023 15:24:59,18 114248
22/11/2023 15:25:05,16 114248
22/11/2023 15:25:11,22 113724
22/11/2023 15:25:17,16 113472
22/11/2023 15:25:23,17 116176
22/11/2023 15:25:29,19 113994
22/11/2023 15:25:35,18 114041
22/11/2023 15:25:41,19 115630
22/11/2023 15:25:47,17 112915
22/11/2023 15:25:53,19 112829
22/11/2023 15:25:58,17 114998
22/11/2023 15:26:04,13 113574
22/11/2023 15:26:09,20 116508
22/11/2023 15:26:15,13 114408
22/11/2023 15:26:21,13 114416
22/11/2023 15:26:26,21 113755
22/11/2023 15:26:32,12 113715
22/11/2023 15:26:38,19 116662
22/11/2023 15:26:44,15 114244
22/11/2023 15:26:50,22 114260
22/11/2023 15:26:56,17 115705
22/11/2023 15:27:02,21 113041
22/11/2023 15:27:08,12 112821
22/11/2023 15:27:13,15 115071
22/11/2023 15:27:19,14 113460
22/11/2023 15:27:25,18 116556
22/11/2023 15:27:31,21 114377
22/11/2023 15:27:37,18 114133
22/11/2023 15:27:43,17 113613
22/11/2023 15:27:49,17 113609
22/11/2023 15:27:55,14 116831
22/11/2023 15:28:00,21 113890
22/11/2023 15:28:06,17 113994
22/11/2023 15:28:12,15 115549
22/11/2023 15:28:18,16 112824
22/11/2023 15:28:23,12 112316
22/11/2023 15:28:29,18 113691
22/11/2023 15:28:35,17 113469
22/11/2023 15:28:41,17 114101
22/11/2023 15:28:47,14 114077
22/11/2023 15:28:52,13 113605
22/11/2023 15:28:57,20 113280
22/11/2023 15:29:03,17 113173
22/11/2023 15:29:09,11 116714
22/11/2023 15:29:14,11 113778
22/11/2023 15:29:19,20 113794
22/11/2023 15:29:25,19 115790
22/11/2023 15:29:31,13 113086
22/11/2023 15:29:36,13 112738
22/11/2023 15:29:41,11 115144
22/11/2023 15:29:46,12 113492
22/11/2023 15:29:51,12 116462
22/11/2023 15:29:56,17 114312
22/11/2023 15:30:02,14 114384
22/11/2023 15:30:07,14 113800
22/11/2023 15:30:12,18 113640
22/11/2023 15:30:18,17 113640
22/11/2023 15:30:24,14 117431
22/11/2023 15:30:30,18 114495
22/11/2023 15:30:36,17 116058
22/11/2023 15:30:42,19 113306
22/11/2023 15:30:48,18 113229
22/11/2023 15:30:54,16 115209
22/11/2023 15:31:00,17 113813
22/11/2023 15:31:06,16 116858
22/11/2023 15:31:12,24 114688
22/11/2023 15:31:18,21 114612
22/11/2023 15:31:24,12 113916
22/11/2023 15:31:30,13 113916
22/11/2023 15:31:35,18 117042
22/11/2023 15:31:41,18 114536
22/11/2023 15:31:47,16 114512
22/11/2023 15:31:53,14 116063
22/11/2023 15:31:59,13 113375
22/11/2023 15:32:04,16 113031
22/11/2023 15:32:09,17 115372
22/11/2023 15:32:15,15 113884
22/11/2023 15:32:21,15 116954
22/11/2023 15:32:27,21 114927
22/11/2023 15:32:33,18 114671
22/11/2023 15:32:39,11 114019
