Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 03:13:10,20 108559
25/11/2023 03:13:16,17 103499
25/11/2023 03:13:22,12 94509
25/11/2023 03:13:28,11 93613
25/11/2023 03:13:34,18 100868
25/11/2023 03:13:40,15 110859
25/11/2023 03:13:46,15 111059
25/11/2023 03:13:52,16 111066
25/11/2023 03:13:58,16 100322
25/11/2023 03:14:04,16 97410
25/11/2023 03:14:10,16 97208
25/11/2023 03:14:16,13 94482
25/11/2023 03:14:22,19 99998
25/11/2023 03:14:28,14 98314
25/11/2023 03:14:34,20 98258
25/11/2023 03:14:40,19 98246
25/11/2023 03:14:46,14 98238
25/11/2023 03:14:52,20 118261
25/11/2023 03:14:58,16 118645
25/11/2023 03:15:04,17 109431
25/11/2023 03:15:10,12 109661
25/11/2023 03:15:16,19 103473
25/11/2023 03:15:22,17 98447
25/11/2023 03:15:28,12 104782
25/11/2023 03:15:34,16 103854
25/11/2023 03:15:40,20 95686
25/11/2023 03:15:46,20 108761
25/11/2023 03:15:52,16 108957
25/11/2023 03:15:58,21 108925
25/11/2023 03:16:04,18 104317
25/11/2023 03:16:10,12 101285
25/11/2023 03:16:16,14 99867
25/11/2023 03:16:22,20 97233
25/11/2023 03:16:28,12 97852
25/11/2023 03:16:34,20 96148
25/11/2023 03:16:40,19 96104
25/11/2023 03:16:46,18 96139
25/11/2023 03:16:52,16 96123
25/11/2023 03:16:58,12 111640
25/11/2023 03:17:04,17 111803
25/11/2023 03:17:10,14 100686
25/11/2023 03:17:16,12 100484
25/11/2023 03:17:22,18 113113
25/11/2023 03:17:28,20 108078
25/11/2023 03:17:34,11 102087
25/11/2023 03:17:40,19 101153
25/11/2023 03:17:46,11 102223
25/11/2023 03:17:52,17 99891
25/11/2023 03:17:58,20 100099
25/11/2023 03:18:04,20 100099
25/11/2023 03:18:10,14 106109
25/11/2023 03:18:16,16 103121
25/11/2023 03:18:22,22 104784
25/11/2023 03:18:28,14 102098
25/11/2023 03:18:34,17 104677
25/11/2023 03:18:40,17 102985
25/11/2023 03:18:46,17 102929
