Inicio: 25/11/2023 19:09:30,80 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: video-error-key.txt
25/11/2023 20:00:50,17 75153
25/11/2023 20:00:56,20 111200
25/11/2023 20:01:02,17 111176
25/11/2023 20:01:08,12 110808
25/11/2023 20:01:13,15 114055
25/11/2023 20:01:19,15 113964
25/11/2023 20:01:25,21 113973
25/11/2023 20:01:31,15 116897
25/11/2023 20:01:37,22 113871
25/11/2023 20:01:43,14 115444
25/11/2023 20:01:49,15 112692
25/11/2023 20:01:55,16 115056
25/11/2023 20:02:01,19 113262
25/11/2023 20:02:07,13 113246
25/11/2023 20:02:13,17 113248
25/11/2023 20:02:19,20 113250
25/11/2023 20:02:25,12 124036
25/11/2023 20:02:31,20 110315
25/11/2023 20:02:37,21 98286
25/11/2023 20:02:43,17 98397
25/11/2023 20:02:49,19 116527
25/11/2023 20:02:55,21 111225
25/11/2023 20:03:01,18 111368
25/11/2023 20:03:07,17 110916
25/11/2023 20:03:13,16 110811
25/11/2023 20:03:19,18 113906
25/11/2023 20:03:25,21 113812
25/11/2023 20:03:31,13 113768
25/11/2023 20:03:37,15 116803
25/11/2023 20:03:43,21 113715
25/11/2023 20:03:49,13 115318
25/11/2023 20:03:54,15 112374
25/11/2023 20:03:59,17 114766
25/11/2023 20:04:05,22 113152
25/11/2023 20:04:11,15 113114
25/11/2023 20:04:17,17 113160
25/11/2023 20:04:23,20 113140
25/11/2023 20:04:29,14 123603
25/11/2023 20:04:35,21 124113
25/11/2023 20:04:41,14 98014
25/11/2023 20:04:47,14 98274
25/11/2023 20:04:53,18 116391
25/11/2023 20:04:59,13 111247
25/11/2023 20:05:05,21 111384
25/11/2023 20:05:11,20 110689
25/11/2023 20:05:17,20 111513
25/11/2023 20:05:23,12 113789
25/11/2023 20:05:28,16 113859
25/11/2023 20:05:34,17 114002
25/11/2023 20:05:40,20 116862
25/11/2023 20:05:46,14 113812
25/11/2023 20:05:52,20 113820
25/11/2023 20:05:58,23 115458
25/11/2023 20:06:04,16 114976
25/11/2023 20:06:10,11 113215
25/11/2023 20:06:15,14 113077
25/11/2023 20:06:21,23 113236
25/11/2023 20:06:27,15 113232
25/11/2023 20:06:33,13 77761
25/11/2023 20:06:39,22 124587
25/11/2023 20:06:45,14 97531
25/11/2023 20:06:51,17 98333
25/11/2023 20:06:57,21 98331
25/11/2023 20:07:03,12 116475
25/11/2023 20:07:09,17 111603
25/11/2023 20:07:15,20 111163
25/11/2023 20:07:21,20 111502
25/11/2023 20:07:27,16 110922
25/11/2023 20:07:32,17 114788
25/11/2023 20:07:38,19 114610
25/11/2023 20:07:44,20 117498
25/11/2023 20:07:50,14 114489
25/11/2023 20:07:56,17 114501
25/11/2023 20:08:02,12 116077
25/11/2023 20:08:08,19 113317
25/11/2023 20:08:14,20 115687
25/11/2023 20:08:20,13 113891
25/11/2023 20:08:25,16 113725
25/11/2023 20:08:31,20 113879
25/11/2023 20:08:37,17 113815
25/11/2023 20:08:43,19 124650
25/11/2023 20:08:49,13 124822
25/11/2023 20:08:55,13 111812
25/11/2023 20:09:01,14 98918
25/11/2023 20:09:07,20 117052
25/11/2023 20:09:13,20 111791
25/11/2023 20:09:19,17 112189
25/11/2023 20:09:25,18 111733
25/11/2023 20:09:31,21 111691
25/11/2023 20:09:37,14 114636
25/11/2023 20:09:42,16 114488
25/11/2023 20:09:48,19 114622
25/11/2023 20:09:54,20 117526
25/11/2023 20:10:00,20 114450
25/11/2023 20:10:06,13 116335
25/11/2023 20:10:12,18 113573
25/11/2023 20:10:18,20 115955
25/11/2023 20:10:24,22 114110
25/11/2023 20:10:30,15 114028
25/11/2023 20:10:36,18 114011
25/11/2023 20:10:42,20 114042
25/11/2023 20:10:48,21 124797
25/11/2023 20:10:54,15 125135
25/11/2023 20:11:00,19 99134
25/11/2023 20:11:06,11 99336
25/11/2023 20:11:11,15 117340
25/11/2023 20:11:17,15 112335
25/11/2023 20:11:23,17 112729
25/11/2023 20:11:29,20 112051
25/11/2023 20:11:35,19 112844
25/11/2023 20:11:41,20 115089
25/11/2023 20:11:47,21 115312
25/11/2023 20:11:53,11 115279
25/11/2023 20:11:59,18 118414
25/11/2023 20:12:05,13 115325
25/11/2023 20:12:10,15 115192
25/11/2023 20:12:16,20 116893
25/11/2023 20:12:22,12 116299
25/11/2023 20:12:28,16 114525
25/11/2023 20:12:34,18 114534
25/11/2023 20:12:40,19 114525
25/11/2023 20:12:46,13 114502
25/11/2023 20:12:51,16 105107
25/11/2023 20:12:57,20 126353
25/11/2023 20:13:03,12 98604
25/11/2023 20:13:08,15 99264
25/11/2023 20:13:14,21 99528
25/11/2023 20:13:20,12 117545
25/11/2023 20:13:26,18 112275
25/11/2023 20:13:32,12 112781
25/11/2023 20:13:37,16 112138
25/11/2023 20:13:43,17 112290
25/11/2023 20:13:48,17 115249
25/11/2023 20:13:54,21 115409
25/11/2023 20:14:00,14 115377
25/11/2023 20:14:06,17 118229
25/11/2023 20:14:12,12 115121
25/11/2023 20:14:17,14 114965
25/11/2023 20:14:23,20 114508
25/11/2023 20:14:29,11 116353
25/11/2023 20:14:34,15 114441
25/11/2023 20:14:40,16 114568
25/11/2023 20:14:46,17 114608
25/11/2023 20:14:52,13 114586
25/11/2023 20:14:58,20 124969
25/11/2023 20:15:04,15 125615
25/11/2023 20:15:10,12 99081
25/11/2023 20:15:15,14 99675
25/11/2023 20:15:21,19 99857
25/11/2023 20:15:27,18 118058
25/11/2023 20:15:33,14 112977
25/11/2023 20:15:39,23 112602
25/11/2023 20:15:45,13 112767
25/11/2023 20:15:50,16 112329
25/11/2023 20:15:55,17 115457
25/11/2023 20:16:01,22 115400
25/11/2023 20:16:07,15 115393
25/11/2023 20:16:13,14 118365
25/11/2023 20:16:19,21 115342
25/11/2023 20:16:25,22 116950
25/11/2023 20:16:31,16 114188
25/11/2023 20:16:37,20 116522
25/11/2023 20:16:43,17 114755
25/11/2023 20:16:49,22 114743
25/11/2023 20:16:55,13 114721
25/11/2023 20:17:01,16 114747
25/11/2023 20:17:07,12 125407
25/11/2023 20:17:13,19 125721
25/11/2023 20:17:19,14 99596
25/11/2023 20:17:25,22 99826
25/11/2023 20:17:31,20 118397
25/11/2023 20:17:37,11 113267
25/11/2023 20:17:42,12 113382
25/11/2023 20:17:47,16 112713
25/11/2023 20:17:53,17 113521
25/11/2023 20:17:59,14 78564
25/11/2023 20:18:05,20 116303
25/11/2023 20:18:11,20 115979
25/11/2023 20:18:17,16 118687
25/11/2023 20:18:23,19 115656
25/11/2023 20:18:29,14 115648
25/11/2023 20:18:35,17 117280
25/11/2023 20:18:41,18 116789
25/11/2023 20:18:47,21 115059
25/11/2023 20:18:53,20 115003
25/11/2023 20:18:59,22 115041
25/11/2023 20:19:05,18 115013
25/11/2023 20:19:11,12 125312
25/11/2023 20:19:17,15 125961
25/11/2023 20:19:23,21 99677
25/11/2023 20:19:29,15 100122
25/11/2023 20:19:35,22 81561
25/11/2023 20:19:41,19 113163
25/11/2023 20:19:47,21 113271
25/11/2023 20:19:53,21 112703
25/11/2023 20:19:59,20 113291
25/11/2023 20:20:05,22 112431
25/11/2023 20:20:11,13 116294
25/11/2023 20:20:16,17 115720
25/11/2023 20:20:22,19 118681
25/11/2023 20:20:28,22 115698
25/11/2023 20:20:34,20 115672
25/11/2023 20:20:40,19 117511
25/11/2023 20:20:46,14 81371
25/11/2023 20:20:52,21 115393
25/11/2023 20:20:58,14 115295
25/11/2023 20:21:04,18 115329
25/11/2023 20:21:10,20 115260
25/11/2023 20:21:16,14 79731
25/11/2023 20:21:22,15 126582
25/11/2023 20:21:28,19 99572
25/11/2023 20:21:34,12 100380
25/11/2023 20:21:39,15 100308
25/11/2023 20:21:45,16 118723
25/11/2023 20:21:51,20 113365
25/11/2023 20:21:57,21 113924
25/11/2023 20:22:03,13 113711
25/11/2023 20:22:09,18 113555
25/11/2023 20:22:14,18 116608
25/11/2023 20:22:20,15 116559
25/11/2023 20:22:26,19 116567
25/11/2023 20:22:32,22 119634
25/11/2023 20:22:38,20 116576
25/11/2023 20:22:44,12 118213
25/11/2023 20:22:50,18 115460
25/11/2023 20:22:56,22 117651
25/11/2023 20:23:02,15 115884
25/11/2023 20:23:08,19 115858
25/11/2023 20:23:14,13 115876
25/11/2023 20:23:20,17 115858
25/11/2023 20:23:26,13 126738
25/11/2023 20:23:32,16 127011
25/11/2023 20:23:38,19 101001
25/11/2023 20:23:44,21 101225
25/11/2023 20:23:50,13 119307
25/11/2023 20:23:56,19 114171
25/11/2023 20:24:02,22 114466
