Inicio: 26/11/2023 16:15:09,49 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue-2.txt
26/11/2023 17:18:27,12 127952
26/11/2023 17:18:38,20 128603
26/11/2023 17:18:49,16 129864
26/11/2023 17:19:00,12 129808
26/11/2023 17:19:11,12 140098
26/11/2023 17:19:22,15 113805
26/11/2023 17:19:33,18 128033
26/11/2023 17:19:44,12 127706
26/11/2023 17:19:55,19 127427
26/11/2023 17:20:06,17 130297
26/11/2023 17:20:17,18 128933
26/11/2023 17:20:28,15 129642
26/11/2023 17:20:39,11 127051
26/11/2023 17:20:50,20 127622
26/11/2023 17:21:01,15 128776
26/11/2023 17:21:12,12 93337
26/11/2023 17:21:23,15 111565
26/11/2023 17:21:34,17 113405
26/11/2023 17:21:45,16 131470
26/11/2023 17:21:56,18 126024
26/11/2023 17:22:07,17 124790
26/11/2023 17:22:18,15 120107
26/11/2023 17:22:29,21 117616
26/11/2023 17:22:40,20 116019
26/11/2023 17:22:51,11 116696
26/11/2023 17:23:02,21 118032
26/11/2023 17:23:13,15 116759
26/11/2023 17:23:24,21 124187
26/11/2023 17:23:35,16 101048
26/11/2023 17:23:46,20 120081
26/11/2023 17:23:57,17 114796
26/11/2023 17:24:08,12 115390
26/11/2023 17:24:19,11 119041
26/11/2023 17:24:30,14 117802
26/11/2023 17:24:41,17 119033
26/11/2023 17:24:52,18 116705
26/11/2023 17:25:03,13 117299
26/11/2023 17:25:14,15 118463
26/11/2023 17:25:25,14 127944
26/11/2023 17:25:36,20 101462
26/11/2023 17:25:47,15 103062
26/11/2023 17:25:58,14 121114
26/11/2023 17:26:09,19 115668
26/11/2023 17:26:20,17 119364
26/11/2023 17:26:31,13 118680
26/11/2023 17:26:42,18 117676
26/11/2023 17:26:53,20 116033
26/11/2023 17:27:04,18 116762
26/11/2023 17:27:15,14 117846
26/11/2023 17:27:26,13 117906
26/11/2023 17:27:37,13 128392
26/11/2023 17:27:48,19 101128
26/11/2023 17:27:59,13 119535
26/11/2023 17:28:10,17 114277
26/11/2023 17:28:21,14 113865
26/11/2023 17:28:32,21 115051
26/11/2023 17:28:43,20 113680
26/11/2023 17:28:54,13 114588
26/11/2023 17:29:05,19 112385
26/11/2023 17:29:16,18 115089
26/11/2023 17:29:27,22 116241
26/11/2023 17:29:38,15 125893
26/11/2023 17:29:49,17 100483
26/11/2023 17:30:00,21 101851
26/11/2023 17:30:11,11 119687
26/11/2023 17:30:22,21 115153
26/11/2023 17:30:33,15 127567
26/11/2023 17:30:44,21 128943
26/11/2023 17:30:55,21 127767
26/11/2023 17:31:06,22 126176
26/11/2023 17:31:17,20 126990
26/11/2023 17:31:28,19 128146
26/11/2023 17:31:39,12 128218
26/11/2023 17:31:50,17 138920
26/11/2023 17:32:01,18 112869
26/11/2023 17:32:12,20 131718
26/11/2023 17:32:23,15 126372
26/11/2023 17:32:34,16 125985
26/11/2023 17:32:45,16 127696
26/11/2023 17:32:56,17 127892
26/11/2023 17:33:07,17 128760
26/11/2023 17:33:18,13 124800
26/11/2023 17:33:29,17 128300
26/11/2023 17:33:40,17 128171
26/11/2023 17:33:51,20 138088
26/11/2023 17:34:02,21 112287
26/11/2023 17:34:13,18 94542
26/11/2023 17:34:24,16 126428
26/11/2023 17:34:35,13 126012
26/11/2023 17:34:46,19 128834
26/11/2023 17:34:57,17 128874
26/11/2023 17:35:08,16 127683
26/11/2023 17:35:19,16 126287
26/11/2023 17:35:30,22 127037
26/11/2023 17:35:41,22 128227
26/11/2023 17:35:52,13 128229
26/11/2023 17:36:03,20 139234
26/11/2023 17:36:14,22 113338
26/11/2023 17:36:25,22 131836
26/11/2023 17:36:36,18 126250
26/11/2023 17:36:47,22 126008
26/11/2023 17:36:58,15 127938
