Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 13:55:22,16 118794
26/11/2023 13:55:33,16 118814
26/11/2023 13:55:44,18 129048
26/11/2023 13:55:55,18 103238
26/11/2023 13:56:06,12 121789
26/11/2023 13:56:17,19 116313
26/11/2023 13:56:28,21 115788
26/11/2023 13:56:39,15 117621
26/11/2023 13:56:50,15 118074
26/11/2023 13:57:01,20 118954
26/11/2023 13:57:12,16 119171
26/11/2023 13:57:23,15 118600
26/11/2023 13:57:34,20 117140
26/11/2023 13:57:45,14 127067
26/11/2023 13:57:56,16 101721
26/11/2023 13:58:07,22 102812
26/11/2023 13:58:18,22 116491
26/11/2023 13:58:29,14 115584
26/11/2023 13:58:40,18 118925
26/11/2023 13:58:51,22 118767
26/11/2023 13:59:02,12 117669
26/11/2023 13:59:13,19 116249
26/11/2023 13:59:24,18 116968
26/11/2023 13:59:35,18 118106
26/11/2023 13:59:46,15 118122
26/11/2023 13:59:57,21 128933
26/11/2023 14:00:08,19 103278
26/11/2023 14:00:19,14 117018
26/11/2023 14:00:30,20 116460
26/11/2023 14:00:41,14 116516
26/11/2023 14:00:52,21 118371
26/11/2023 14:01:03,21 118421
26/11/2023 14:01:14,20 116900
26/11/2023 14:01:25,15 117412
26/11/2023 14:01:36,15 118778
26/11/2023 14:01:47,14 118735
26/11/2023 14:01:58,12 129015
26/11/2023 14:02:09,19 103023
26/11/2023 14:02:20,15 121840
26/11/2023 14:02:31,12 116882
26/11/2023 14:02:42,14 116498
26/11/2023 14:02:53,13 119227
26/11/2023 14:03:04,17 119349
26/11/2023 14:03:15,20 122316
26/11/2023 14:03:26,13 116752
26/11/2023 14:03:37,19 117443
26/11/2023 14:03:48,16 121695
26/11/2023 14:03:59,21 121751
26/11/2023 14:04:10,21 114387
26/11/2023 14:04:21,12 101848
26/11/2023 14:04:32,16 120183
26/11/2023 14:04:43,18 114777
26/11/2023 14:04:54,19 114620
26/11/2023 14:05:05,20 116786
26/11/2023 14:05:16,19 116577
26/11/2023 14:05:27,15 115057
26/11/2023 14:05:38,14 115709
26/11/2023 14:05:49,19 117123
26/11/2023 14:06:00,14 117075
26/11/2023 14:06:11,22 127551
26/11/2023 14:06:22,17 99478
26/11/2023 14:06:33,22 116439
26/11/2023 14:06:44,13 113203
26/11/2023 14:06:55,21 112822
26/11/2023 14:07:06,17 115590
26/11/2023 14:07:17,14 114282
26/11/2023 14:07:28,19 115611
26/11/2023 14:07:39,16 113371
26/11/2023 14:07:50,18 113945
26/11/2023 14:08:01,16 115117
26/11/2023 14:08:12,15 124504
26/11/2023 14:08:23,17 98526
26/11/2023 14:08:34,13 100166
26/11/2023 14:08:45,15 118238
26/11/2023 14:08:56,15 112768
26/11/2023 14:09:06,19 112904
26/11/2023 14:09:17,13 114958
26/11/2023 14:09:28,21 114937
26/11/2023 14:09:39,18 112116
26/11/2023 14:09:50,16 112760
26/11/2023 14:10:01,18 114119
26/11/2023 14:10:12,20 114099
