Inicio: 26/11/2023 10:23:44,90 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: on-error-load-async.txt
26/11/2023 12:25:06,14 118992
26/11/2023 12:25:17,14 116192
26/11/2023 12:25:28,20 117090
26/11/2023 12:25:39,17 120003
26/11/2023 12:25:50,12 109781
26/11/2023 12:26:01,12 111473
26/11/2023 12:26:12,21 113106
26/11/2023 12:26:23,18 114192
26/11/2023 12:26:34,12 114368
26/11/2023 12:26:45,21 123638
26/11/2023 12:26:56,21 122410
26/11/2023 12:27:07,13 117601
26/11/2023 12:27:18,21 115601
26/11/2023 12:27:29,18 114993
26/11/2023 12:27:40,16 116837
26/11/2023 12:27:51,20 125072
26/11/2023 12:28:02,20 112689
26/11/2023 12:28:13,16 112975
26/11/2023 12:28:24,13 113945
26/11/2023 12:28:35,16 114194
26/11/2023 12:28:46,15 123503
26/11/2023 12:28:57,21 121807
26/11/2023 12:29:08,18 122669
26/11/2023 12:29:19,20 119362
26/11/2023 12:29:30,20 116538
26/11/2023 12:29:41,18 115310
26/11/2023 12:29:52,16 124699
26/11/2023 12:30:03,13 111442
26/11/2023 12:30:14,12 111497
26/11/2023 12:30:25,20 113562
26/11/2023 12:30:36,16 114697
26/11/2023 12:30:47,16 122871
26/11/2023 12:30:58,22 123843
26/11/2023 12:31:09,13 123410
26/11/2023 12:31:20,22 119275
26/11/2023 12:31:31,14 116320
26/11/2023 12:31:42,20 115700
26/11/2023 12:31:53,20 117520
26/11/2023 12:32:04,16 125807
26/11/2023 12:32:15,19 111952
26/11/2023 12:32:26,18 113504
26/11/2023 12:32:37,12 114527
26/11/2023 12:32:48,11 114977
26/11/2023 12:32:59,14 123997
26/11/2023 12:33:10,21 122690
26/11/2023 12:33:21,22 123321
26/11/2023 12:33:32,15 118282
26/11/2023 12:33:43,16 117116
26/11/2023 12:33:54,14 115692
26/11/2023 12:34:05,18 125099
26/11/2023 12:34:16,18 112072
26/11/2023 12:34:27,19 111958
26/11/2023 12:34:38,18 79935
26/11/2023 12:34:49,17 114181
26/11/2023 12:35:00,20 123255
26/11/2023 12:35:11,18 124099
26/11/2023 12:35:22,18 123760
26/11/2023 12:35:33,15 119661
26/11/2023 12:35:44,21 116697
26/11/2023 12:35:55,18 115940
26/11/2023 12:36:06,15 117776
26/11/2023 12:36:17,21 126909
26/11/2023 12:36:28,22 113122
26/11/2023 12:36:39,21 114552
26/11/2023 12:36:50,19 115794
26/11/2023 12:37:01,13 116010
26/11/2023 12:37:12,17 125614
26/11/2023 12:37:23,17 123731
26/11/2023 12:37:34,20 124208
26/11/2023 12:37:45,22 123963
26/11/2023 12:37:56,14 118913
26/11/2023 12:38:07,16 118637
26/11/2023 12:38:18,11 126361
26/11/2023 12:38:29,22 113691
26/11/2023 12:38:40,21 132748
26/11/2023 12:38:51,20 115395
26/11/2023 12:39:02,18 115524
26/11/2023 12:39:13,18 124239
26/11/2023 12:39:24,20 124884
26/11/2023 12:39:35,21 124661
26/11/2023 12:39:46,12 120670
26/11/2023 12:39:57,16 117764
