Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 15:28:55,16 149948
28/11/2023 15:29:06,14 175561
28/11/2023 15:29:17,13 126649
28/11/2023 15:29:28,13 165588
28/11/2023 15:29:39,19 164190
28/11/2023 15:29:50,21 166073
28/11/2023 15:30:01,16 134932
28/11/2023 15:30:12,19 187437
28/11/2023 15:30:23,18 188259
28/11/2023 15:30:34,12 184142
28/11/2023 15:30:45,14 184177
28/11/2023 15:30:56,18 182301
28/11/2023 15:31:07,11 181582
28/11/2023 15:31:18,17 180638
28/11/2023 15:31:29,12 171619
28/11/2023 15:31:40,20 171123
28/11/2023 15:31:51,19 170525
28/11/2023 15:32:02,21 170099
28/11/2023 15:32:13,19 170002
28/11/2023 15:32:24,21 169750
28/11/2023 15:32:35,11 168493
28/11/2023 15:32:46,12 167915
28/11/2023 15:32:57,17 167315
28/11/2023 15:33:08,17 166988
28/11/2023 15:33:19,12 166047
28/11/2023 15:33:30,13 166199
28/11/2023 15:33:41,12 167845
28/11/2023 15:33:52,21 168019
28/11/2023 15:34:03,19 167867
28/11/2023 15:34:14,21 168015
28/11/2023 15:34:25,16 143154
28/11/2023 15:34:36,18 179048
28/11/2023 15:34:47,14 177982
28/11/2023 15:34:58,21 225756
28/11/2023 15:35:09,17 226876
28/11/2023 15:35:20,12 167600
28/11/2023 15:35:31,17 152075
28/11/2023 15:35:42,13 175539
28/11/2023 15:35:53,18 127023
28/11/2023 15:36:04,21 167097
28/11/2023 15:36:15,15 165986
28/11/2023 15:36:26,13 168012
28/11/2023 15:36:37,11 137775
28/11/2023 15:36:48,15 185865
28/11/2023 15:36:59,16 185737
28/11/2023 15:37:10,14 186002
28/11/2023 15:37:21,18 181862
28/11/2023 15:37:32,18 179833
28/11/2023 15:37:43,16 179860
28/11/2023 15:37:54,21 179227
28/11/2023 15:38:05,18 170178
28/11/2023 15:38:16,19 169184
28/11/2023 15:38:27,22 169064
28/11/2023 15:38:38,15 168706
28/11/2023 15:38:49,17 167994
